ponderada;mensual
15,05;0,54
1,70;1,13
3,98;0,70
33,12;1,07
4,19;0,38
1,71;0,59
12,93;0,86
4,33;0,22
3,79;-0,06
4,41;8,74
9,43;1,13
5,36;0,30
mar-24;
15,05;0,75
1,70;0,78
3,98;0,12
33,12;0,83
4,19;0,25
1,71;1,13
12,93;1,14
4,33;-0,01
3,79;-0,54
4,41;0,18
9,43;0,94
5,36;0,24
abr-24;
15,05;1,16
1,70;0,43
3,98;0,06
33,12;0,93
4,19;0,43
1,71;0,36
12,93;0,10
4,33;-0,10
3,79;-0,28
4,41;-0,07
9,43;0,28
5,36;0,48
may-24;
15,05;0,51
1,70;0,11
3,98;0,20
33,12;0,74
4,19;0,13
1,71;0,36
12,93;-0,05
4,33;-0,16
3,79;-0,02
4,41;0,03
9,43;0,65
5,36;0,42
jun-24;
15,05;0,30
1,70;0,08
3,98;0,09
33,12;0,58
4,19;0,07
1,71;0,49
12,93;0,19
4,33;0,08
3,79;0,10
4,41;-0,18
9,43;0,39
5,36;0,14
jul-24;
15,05;0,21
1,70;0,33
3,98;-0,08
33,12;0,45
4,19;-0,06
1,71;0,24
12,93;-0,08
4,33;-0,15
3,79;0,02
4,41;0,00
9,43;0,22
5,36;0,10
ago-24;
15,05;-0,68
1,70;0,22
3,98;0,06
33,12;0,30
4,19;0,02
1,71;0,17
12,93;0,13
4,33;-0,40
3,79;-0,22
4,41;-0,16
9,43;0,31
5,36;0,00
sept-24;
15,05;0,11
1,70;0,07
3,98;0,11
33,12;0,18
4,19;0,02
1,71;0,29
12,93;0,24
4,33;0,02
3,79;-0,26
4,41;1,93
9,43;0,49
5,36;0,03
oct-24;
15,05;-0,76
1,70;0,21
3,98;0,12
33,12;-0,04
4,19;-0,05
1,71;0,17
12,93;-0,01
4,33;-0,16
3,79;-0,17
4,41;0,02
9,43;0,14
5,36;0,16
nov-24;
15,05;0,13
1,70;0,53
3,98;0,23
33,12;0,29
4,19;0,17
1,71;0,36
12,93;0,18
4,33;-0,04
3,79;1,68
4,41;-0,02
9,43;0,35
5,36;0,27
dic-24;
15,05;0,53
1,70;0,44
3,98;0,12
33,12;0,58
4,19;0,11
1,71;0,14
12,93;0,39
4,33;-0,10
3,79;-0,23
4,41;0,00
9,43;0,99
5,36;0,18
ene-25;
15,05;1,62
1,70;0,64
3,98;-0,15
33,12;0,39
4,19;0,70
1,71;1,04
12,93;1,71
4,33;-0,19
3,79;-0,18
4,41;0,00
9,43;1,90
5,36;0,54
feb-25;
15,05;0,60
1,70;0,97
3,98;0,54
33,12;1,16
4,19;0,65
1,71;0,54
12,93;1,57
4,33;-0,02
3,79;0,93
4,41;5,57
9,43;0,82
5,36;0,81
mar-25;
15,05;0,86
1,70;0,57
3,98;0,18
33,12;0,56
4,19;0,42
1,71;1,01
12,93;0,41
4,33;-0,20
3,79;0,19
4,41;0,08
9,43;0,57
5,36;0,34
